userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
sirius18,Biomedical Engineering,0,0,Biomedical instrumentation Biosensors,115,MS,Instrumentation and Control Engg,,0,580,800,http://www.edulix.com/unisearch/user.php?uid=4478,0,4.5,9.62,Fall - 2011,0,NITT,,8.55,,10,
div73,Telecommunication,0,0,,108,MS,Electronics and communication,28,0,161,159,http://www.edulix.com/unisearch/user.php?uid=173924,0,3,9.5,Fall - 2013,0,Nitte institute of technology,,7.95,,10,
Sandeep_Shenoy_U,Computer Science,0,0,Computer Security (Cryptography),91,MS,Computer Science,,0,340,760,http://www.edulix.com/unisearch/user.php?uid=5556,0,3,80,Fall - 2011,0,Nitte Mahalinga Adyanthaya Memorial Institue of Technology Nitte,,72.78,,100,
abhijith.av,Electrical Engineering,0,0,Digital VLSI and Computer Architecture,100,MS,Electronics and Communication,,0,151,159,http://www.edulix.com/unisearch/user.php?uid=11729,0,3,9.45,Fall - 2012,0,Nitte Meenakshi Institute of Technology VTU (Autonomous),,8.65,,10,
sachidanandaks,Mechanical Engineering,0,0,Design/Manufacturing,91,MS,Mechanical Engineering,23,0,143,157,http://www.edulix.com/unisearch/user.php?uid=213315,0,3,9.08,Fall - 2014,0,Nitte Meenakshi Institute of Technology (Autonomous) / VTU,,8.71,,10,
Mohith888,Computer Science,0,0,,,MS,Information Science,,0,,,http://www.edulix.com/unisearch/user.php?uid=242488,0,,10,Fall - 2015,0,Nitte University,,8.1,,10,
saigoutham24,Electronics & Communication,0,0,Analog and mixed signal (VLSI),101,MS,elcetronics,,0,630,790,http://www.edulix.com/unisearch/user.php?uid=131799,0,3,9.5,Fall - 2013,0,nitw,,8.6,,10,
kdeconda,Computer Science,0,0,,300,MS,CSE,6,0,690,750,http://www.edulix.com/unisearch/user.php?uid=185,0,4.5,84,Fall - 2006,0,NITW,,79,,100,
konthams,Computer Science,0,0,,,MS,COMPUTER,,0,,,http://www.edulix.com/unisearch/user.php?uid=201186,0,,0,Fall - 2013,0,NIZAM COLLEGE,,0,,0,
mariprasad,Computer Science,0,0,,,MS,CS,,0,,,http://www.edulix.com/unisearch/user.php?uid=158893,0,,0,Fall - 2012,0,NJIT,,0,,0,
krutirao,Electrical Engineering,5,0,,103,MS,Electronics and Communication Engineering,,0,146,161,http://www.edulix.com/unisearch/user.php?uid=281140,0,4,0,Spring - 2016,3,NMAM Institute of technology,,8.73,,10,
shallimeetyou,Computer Science,0,0,Artificial Intelligence,108,MS,Information Science,,0,500,800,http://www.edulix.com/unisearch/user.php?uid=131714,0,4,86.6,Spring - 2012,0,NMAM Institute of Technology,,86.6,,100,
